date,country,age,sex,fatal,activity,type
June,USA,14.0,F,N,Close to the water,Unprovoked
June,USA,22.0,F,N,swimming,Unprovoked
June,AUSTRALIA,,M,N,surfing,Unprovoked
June,USA,37.0,F,N,other activity,Unprovoked
May,AUSTRALIA,29.0,F,N,other activity,Unprovoked
May,,,M,N,swimming,Unprovoked
May,AUSTRALIA,10.0,M,N,other activity,Provoked
May,USA,38.0,F,N,surfing,Unprovoked
May,AUSTRALIA,35.0,M,N,surfing,Unprovoked
May,USA,44.0,F,N,Close to the water,Unprovoked
May,USA,12.0,M,N,surfing,Unprovoked
May,USA,,M,,swimming,
May,USA,40.0,F,N,swimming,Unprovoked
May,SOUTH AFRICA,,,N,swimming,Unprovoked
May,USA,23.0,M,N,surfing,Unprovoked
April,AUSTRALIA,,M,N,fishing,Unprovoked
April,USA,42.0,M,N,swimming,Unprovoked
April,USA,25.0,M,N,Close to the water,Unprovoked
April,SOUTH AFRICA,,,N,other activity,
April,SOUTH AFRICA,,M,N,fishing,Provoked
April,USA,,M,N,surfing,Unprovoked
April,USA,,M,N,surfing,Unprovoked
April,AUSTRALIA,63.0,F,Y,swimming,Unprovoked
March,AUSTRALIA,38.0,M,,swimming,
March,SOUTH AFRICA,66.0,M,Y,swimming,Unprovoked
March,USA,,M,N,surfing,Unprovoked
March,USA,9.0,M,N,surfing,Unprovoked
March,,42.0,M,N,surfing,Unprovoked
March,AUSTRALIA,42.0,M,N,surfing,Unprovoked
March,AUSTRALIA,10.0,F,,other activity,
March,AUSTRALIA,,M,N,swimming,Unprovoked
March,,,M,,swimming,
March,USA,21.0,M,N,surfing,Unprovoked
February,,21.0,M,N,surfing,Unprovoked
February,PAPUA NEW GUINEA,21.0,M,N,vessel related,
February,AUSTRALIA,28.0,M,Y,swimming,Unprovoked
February,,,M,N,fishing,Provoked
February,NEW ZEALAND,28.0,M,N,surfing,Unprovoked
January,AUSTRALIA,,M,N,fishing,Provoked
January,NEW ZEALAND,24.0,M,N,fishing,Unprovoked
January,,31.0,M,N,other activity,
